ABL1	SHC3
ABL1	STAT5B
ABL1	CBLB
ABL1	CBLC
ABL1	CD55
ABL1	CRK
ABL1	CRKL
ABL1	RAC3
ABL1	RB1
ABL1	SHC1
ABL1	SHC2
ABL1	SHC4
ABL1	STAT5A
ABL1	CBL
ABL1	EPHA1
ABL1	EPHA2
ABL1	EPHA3
ABL1	EPHA4
ABL1	EPHA5
ABL1	EPHA6
ABL1	EPHA7
ABL1	EPHA8
ABL1	EPHB1
ABL1	EPHB2
ABL1	EPHB3
ABL1	EPHB4
ABL1	EPHB6
ABL1	GRB2
ABL1	MYC
ABL1	NTRK1
ABL1	NTRK2
ABL1	NTRK3
ABL1	RAC1
ABL1	RAC2
AKT1	hsa-miR-125b
AKT1	hsa-miR-155
AKT1	hsa-miR-181c
AKT1	hsa-miR-22
AKT2	hsa-miR-22
AKT3	hsa-miR-22
APBB1	APP
APC	TBL1Y
APC	ARHGEF4
APC	AXIN1
APC	AXIN2
APC	CTNNB1
APC	DVL1
APC	DVL2
APC	DVL3
APC	TBL1XR1
APC	TBL1X
AR	RPE65
AR	hsa-miR-216a
AR	VEGFA
AR	KLK3
AR	MAPK3
AR	MAPK1
AR	HSP90B1
AR	HSP90AB1
AR	HSP90AA1
AR	AR
AR	ABCB1
AR	ACAA1
AR	ACOX1
AR	ACOX2
AR	ACPP
AR	ACSL1
AR	ADAM28
AR	ADAMTS3
AR	ADAMTS4
AR	ADIPOQ
AR	ADIPOR1
AR	ADIPOR2
AR	AKR1B1
AR	AKT1
AR	ALB
AR	ALPP
AR	AMH
AR	ANGPTL4
AR	APOA1
AR	APOB
AR	APOBR
AR	APOC3
AR	APOE
AR	AR
AR	AREG
AR	ASB2
AR	ATP2A2
AR	AVP
AR	BCL2
AR	BTF3P11
AR	C21orf33
AR	CASP3
AR	CCND1
AR	CCND2
AR	CCNG1
AR	CD36
AR	CD38
AR	CD40
AR	CD83
AR	CDH13
AR	CDK7
AR	CDKN1A
AR	CETP
AR	CITED2
AR	CPT1A
AR	CPT1B
AR	CPT2
AR	CRABP2
AR	CYP19A1
AR	CYP1A1
AR	CYP26A1
AR	CYP27A1
AR	CYP4A11
AR	CYP7A1
AR	DBI
AR	DHRS4
AR	DRD1
AR	ECM1
AR	EDN1
AR	EGFR
AR	ELF4
AR	ELK1
AR	ESR1
AR	ESR2
AR	ETS1
AR	F9
AR	FABP1
AR	FABP3
AR	FADS2
AR	FBP2
AR	FCER1A
AR	FGB
AR	FGF13
AR	FGF2
AR	FGF8
AR	FGFBP1
AR	FGFR1
AR	FHL2
AR	FOXA1
AR	GADD45A
AR	GADD45B
AR	GADD45G
AR	GATA3
AR	GCK
AR	GDEP
AR	GOT1
AR	GSTP1
AR	GTF2F1
AR	H3F3A
AR	HES1
AR	HMGCS1
AR	HMGCS2
AR	HNF1A
AR	HNF1B
AR	HOXA1
AR	HOXA4
AR	HOXA7
AR	HOXB4
AR	HOXC8
AR	HOXD4
AR	HSD11B1
AR	HSD17B1
AR	IBSP
AR	ICAM1
AR	IFNAR1
AR	IGFBP5
AR	IL6ST
AR	IL8
AR	INS
AR	IRAK2
AR	JUN
AR	KAT5
AR	KAT7
AR	KCNH4
AR	KCNH8
AR	KHSRP
AR	KLF5
AR	KLK14
AR	KLK15
AR	KLK2
AR	KLKB1
AR	KRT19
AR	LCP1
AR	LIPA
AR	LIPE
AR	LPL
AR	MAP4K2
AR	MED1
AR	MIF
